name,gate_name,n,initial_state_number,construction_time,simulation_time,precision,abs_error,euclid_error
rec,Rx,4,12,3,5,7,5.9604645e-08,6.00685e-08
rec,Ry,4,12,3,5,7,5.9604645e-08,6.00685e-08
rec,Rz,4,12,3,5,7,6.365779e-08,6.365779e-08
rec,X^(1/2),4,13,4,5,7,1.5359765e-08,1.5423163e-08
rec,X^(1/4),4,13,4,6,7,2.2351742e-08,2.3579204e-08
rec,X^(1/8),4,13,4,6,8,1.4901161e-08,1.536153e-08
rec,H,4,13,4,6,7,4.7706994e-08,5.528637e-08
rec,X,4,13,5,6,7,4.7706994e-08,4.785222e-08
rec,Y,4,13,4,6,7,4.7706994e-08,4.785222e-08
rec,Z,4,13,4,6,7,5.9604645e-08,5.9604645e-08
rec,Rx,4,13,3,5,7,5.9604645e-08,6.00685e-08
rec,Ry,4,13,4,5,7,5.9604645e-08,6.00685e-08
rec,Rz,4,13,4,5,7,6.365779e-08,6.365779e-08
rec,X^(1/2),4,14,3,6,7,5.9604645e-08,5.9604645e-08
rec,X^(1/4),4,14,4,5,7,6.664002e-08,7.4505806e-08
rec,X^(1/8),4,14,3,6,6,1.7943374e-07,1.8005142e-07
rec,H,4,14,4,5,7,8.4293696e-08,8.940697e-08
rec,X,4,14,4,5,7,4.7706994e-08,4.785222e-08
rec,Y,4,14,3,6,7,4.7706994e-08,4.785222e-08
rec,Z,4,14,4,5,17,0.0,0.0
rec,Rx,4,14,3,6,7,2.9802322e-08,2.9802322e-08
rec,Ry,4,14,3,6,7,2.9802322e-08,2.9802322e-08
rec,Rz,4,14,4,6,7,2.9802322e-08,2.9802322e-08
rec,X^(1/2),4,15,4,5,7,5.9604645e-08,5.9604645e-08
rec,X^(1/4),4,15,4,5,7,6.664002e-08,7.4505806e-08
rec,X^(1/8),4,15,4,5,6,1.7943374e-07,1.8005142e-07
rec,H,4,15,4,5,7,5.9604645e-08,7.4505806e-08
rec,X,4,15,3,6,7,4.7706994e-08,4.785222e-08
rec,Y,4,15,4,5,7,4.7706994e-08,4.785222e-08
rec,Z,4,15,3,5,7,5.9604645e-08,5.9604645e-08
rec,Rx,4,15,4,5,7,2.9802322e-08,2.9802322e-08
rec,Ry,4,15,3,6,7,2.9802322e-08,2.9802322e-08
rec,Rz,4,15,3,5,7,2.9802322e-08,2.9802322e-08
rec,X^(1/2),5,0,10,17,17,0.0,0.0
rec,X^(1/4),5,0,10,17,17,0.0,0.0
rec,X^(1/8),5,0,10,16,17,0.0,0.0
rec,H,5,0,10,15,17,0.0,0.0
rec,X,5,0,10,17,17,0.0,0.0
rec,Y,5,0,11,16,17,0.0,0.0
rec,Z,5,0,11,15,17,0.0,0.0
rec,Rx,5,0,10,16,17,0.0,0.0
rec,Ry,5,0,10,15,17,0.0,0.0
rec,Rz,5,0,11,17,17,0.0,0.0
rec,X^(1/2),5,1,11,16,17,0.0,0.0
rec,X^(1/4),5,1,10,38,17,0.0,0.0
rec,X^(1/8),5,1,15,22,17,0.0,0.0
rec,H,5,1,12,16,17,0.0,0.0
rec,X,5,1,10,16,17,0.0,0.0
rec,Y,5,1,10,17,17,0.0,0.0
rec,Z,5,1,10,15,17,0.0,0.0
rec,Rx,5,1,11,16,17,0.0,0.0
rec,Ry,5,1,12,17,17,0.0,0.0
rec,Rz,5,1,11,18,17,0.0,0.0
rec,X^(1/2),5,2,10,15,7,4.4703484e-08,4.4703484e-08
rec,X^(1/4),5,2,10,15,17,0.0,0.0
rec,X^(1/8),5,2,10,16,17,0.0,0.0
rec,H,5,2,10,16,17,0.0,0.0
rec,X,5,2,10,16,17,0.0,0.0
rec,Y,5,2,10,18,17,0.0,0.0
rec,Z,5,2,11,16,17,0.0,0.0
rec,Rx,5,2,10,16,7,5.9604645e-08,5.9604645e-08
rec,Ry,5,2,11,16,7,5.9604645e-08,5.9604645e-08
rec,Rz,5,2,10,16,7,5.9604645e-08,5.9604645e-08
rec,X^(1/2),5,3,12,15,7,4.4703484e-08,4.4703484e-08
rec,X^(1/4),5,3,10,17,17,0.0,0.0
rec,X^(1/8),5,3,11,16,17,0.0,0.0
rec,H,5,3,10,16,17,0.0,0.0
rec,X,5,3,10,16,17,0.0,0.0
rec,Y,5,3,11,16,17,0.0,0.0
rec,Z,5,3,12,16,17,0.0,0.0
rec,Rx,5,3,10,16,7,5.9604645e-08,5.9604645e-08
rec,Ry,5,3,10,16,7,5.9604645e-08,5.9604645e-08
rec,Rz,5,3,11,16,7,5.9604645e-08,5.9604645e-08
rec,X^(1/2),5,4,11,15,17,0.0,0.0
rec,X^(1/4),5,4,11,15,17,0.0,0.0
rec,X^(1/8),5,4,12,16,9,4.656613e-10,4.656613e-10
rec,H,5,4,10,16,7,5.9604645e-08,5.9604645e-08
rec,X,5,4,12,16,7,4.4703484e-08,4.4703484e-08
rec,Y,5,4,12,16,7,4.4703484e-08,4.4703484e-08
rec,Z,5,4,10,16,17,0.0,0.0
rec,Rx,5,4,11,17,16,1.1320822e-16,1.1320822e-16
rec,Ry,5,4,11,16,16,1.1320822e-16,1.1320822e-16
rec,Rz,5,4,11,15,17,0.0,0.0
rec,X^(1/2),5,5,11,16,17,0.0,0.0
rec,X^(1/4),5,5,11,16,17,0.0,0.0
rec,X^(1/8),5,5,11,16,9,4.656613e-10,4.656613e-10
rec,H,5,5,11,16,7,1.1920929e-07,1.1920929e-07
rec,X,5,5,10,15,7,4.4703484e-08,4.4703484e-08
rec,Y,5,5,10,16,7,4.4703484e-08,4.4703484e-08
rec,Z,5,5,10,16,7,5.9604645e-08,5.9604645e-08
rec,Rx,5,5,10,17,16,1.1320822e-16,1.1320822e-16
rec,Ry,5,5,11,16,16,1.1320822e-16,1.1320822e-16
rec,Rz,5,5,11,15,17,0.0,0.0
rec,X^(1/2),5,6,11,16,7,3.7252903e-08,3.7902083e-08
rec,X^(1/4),5,6,10,18,17,0.0,0.0
rec,X^(1/8),5,6,10,16,8,7.4832505e-09,7.483424e-09
rec,H,5,6,11,16,7,5.963374e-08,7.302424e-08
rec,X,5,6,10,16,7,4.4703484e-08,4.4703484e-08
rec,Y,5,6,11,16,7,4.4703484e-08,4.4703484e-08
rec,Z,5,6,11,16,17,0.0,0.0
rec,Rx,5,6,11,15,7,5.9604645e-08,5.9604645e-08
rec,Ry,5,6,10,16,7,5.9604645e-08,5.9604645e-08
rec,Rz,5,6,11,16,7,8.4293696e-08,8.4293696e-08
rec,X^(1/2),5,7,11,15,7,3.7252903e-08,3.7902083e-08
rec,X^(1/4),5,7,10,16,17,0.0,0.0
rec,X^(1/8),5,7,11,16,8,7.4832505e-09,7.483424e-09
rec,H,5,7,10,16,7,1.1957253e-07,1.2678308e-07
rec,X,5,7,11,15,7,4.4703484e-08,4.4703484e-08
rec,Y,5,7,10,16,7,4.4703484e-08,4.4703484e-08
rec,Z,5,7,11,17,7,5.9604645e-08,5.9604645e-08
